"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
"4","No","Travel_Frequently","4","Sales","2",4,"Marketing",1,"Male","5",3,2,"Sales Executive",4,"Single","2","4",4,"Yes","4",4,3,0,"3",4,3,"3",6,"1","4"
"3","No","Travel_Rarely","4","Research & Development","3",1,"Life Sciences",4,"Male","1",4,1,"Laboratory Technician",4,"Married","1","1",1,"No","4",3,4,0,"1",2,3,"1",0,"1","1"
"5","Yes","Travel_Rarely","2","Research & Development","1",2,"Life Sciences",1,"Male","5",2,3,"Laboratory Technician",3,"Single","2","4",9,"Yes","2",3,4,0,"4",2,3,"1",0,"1","1"
"2","Yes","Travel_Rarely","5","Research & Development","2",4,"Technical Degree",3,"Male","2",3,1,"Laboratory Technician",3,"Single","1","2",1,"Yes","2",3,3,0,"1",3,2,"1",2,"1","2"
"4","No","Travel_Rarely","5","Sales","1",5,"Marketing",2,"Female","4",3,2,"Sales Executive",1,"Divorced","2","1",5,"Yes","4",4,3,1,"2",2,2,"1",3,"1","2"
"3","No","Non-Travel","4","Research & Development","3",2,"Medical",3,"Male","4",2,3,"Healthcare Representative",1,"Married","4","2",2,"Yes","2",3,3,1,"2",3,3,"1",0,"1","2"
"2","No","Travel_Rarely","5","Sales","5",3,"Marketing",3,"Female","2",2,2,"Sales Executive",4,"Married","2","4",7,"Yes","4",3,3,1,"1",2,2,"1",2,"1","1"
"3","No","Travel_Frequently","2","Research & Development","1",2,"Life Sciences",1,"Female","5",3,3,"Research Director",4,"Single","4","3",1,"Yes","1",3,3,0,"3",1,3,"4",14,"3","5"
"3","No","Travel_Frequently","3","Sales","4",5,"Life Sciences",2,"Male","3",3,3,"Sales Executive",1,"Married","3","2",1,"No","4",4,4,1,"2",3,2,"3",8,"1","4"
"3","No","Travel_Rarely","4","Research & Development","5",4,"Medical",3,"Female","1",3,1,"Laboratory Technician",1,"Married","2","3",3,"Yes","2",3,3,1,"1",3,3,"1",2,"1","2"
"2","No","Travel_Rarely","2","Research & Development","2",4,"Life Sciences",4,"Male","2",3,2,"Laboratory Technician",4,"Divorced","2","2",3,"No","4",4,4,1,"2",3,2,"2",7,"1","4"
"3","No","Travel_Rarely","4","Research & Development","1",4,"Life Sciences",1,"Male","2",2,2,"Manufacturing Director",3,"Divorced","2","1",1,"No","3",3,3,1,"2",2,4,"2",5,"1","4"
"3","No","Travel_Rarely","2","Research & Development","1",3,"Medical",1,"Male","1",3,2,"Manufacturing Director",4,"Married","3","2",1,"Yes","4",4,2,1,"2",3,3,"3",8,"3","4"
"3","No","Travel_Frequently","2","Research & Development","5",5,"Life Sciences",4,"Female","2",3,2,"Laboratory Technician",4,"Single","1","1",1,"No","1",3,4,0,"2",2,3,"3",3,"3","4"
"5","No","Travel_Rarely","3","Research & Development","2",2,"Medical",2,"Female","1",2,5,"Research Director",3,"Divorced","5","3",5,"Yes","1",3,4,1,"5",2,2,"5",3,"4","4"
"5","No","Travel_Rarely","5","Sales","5",3,"Life Sciences",1,"Female","5",3,3,"Sales Executive",1,"Single","3","1",7,"No","1",3,4,0,"5",3,2,"4",16,"3","4"
"3","No","Travel_Rarely","4","Research & Development","3",3,"Technical Degree",3,"Female","3",3,3,"Healthcare Representative",3,"Divorced","4","2",1,"No","2",3,2,3,"3",2,3,"4",14,"4","4"
"5","No","Travel_Rarely","3","Research & Development","3",3,"Medical",4,"Female","1",3,4,"Manager",3,"Divorced","5","4",2,"Yes","2",3,3,3,"4",2,3,"2",0,"1","2"
"3","No","Travel_Frequently","4","Research & Development","3",3,"Life Sciences",2,"Male","5",2,2,"Manufacturing Director",2,"Single","3","5",1,"No","2",3,3,0,"1",3,3,"2",5,"1","2"
"4","No","Travel_Rarely","5","Research & Development","2",3,"Life Sciences",2,"Male","3",3,3,"Research Scientist",1,"Divorced","4","4",2,"No","3",3,3,1,"4",2,3,"1",0,"1","1"
"3","No","Travel_Frequently","2","Research & Development","1",3,"Medical",2,"Male","4",3,1,"Research Scientist",1,"Married","1","1",4,"No","2",3,4,1,"1",2,2,"1",2,"1","2"
"3","Yes","Travel_Rarely","1","Research & Development","3",3,"Medical",4,"Male","4",2,1,"Research Scientist",3,"Married","1","4",0,"Yes","3",3,1,1,"1",0,2,"1",0,"1","1"
"5","No","Travel_Frequently","4","Sales","1",1,"Life Sciences",1,"Female","2",2,2,"Sales Executive",3,"Single","2","5",7,"No","1",3,4,0,"4",2,2,"1",3,"1","2"
"2","No","Travel_Rarely","5","Research & Development","1",3,"Life Sciences",3,"Male","4",3,1,"Research Scientist",2,"Married","1","1",0,"No","5",4,4,1,"1",3,3,"2",4,"1","3"
"2","No","Travel_Rarely","4","Research & Development","1",4,"Medical",3,"Male","5",3,1,"Research Scientist",2,"Single","1","4",1,"No","3",3,2,0,"1",4,3,"1",1,"1","1"
"3","No","Travel_Rarely","2","Research & Development","1",3,"Life Sciences",2,"Male","3",3,2,"Research Scientist",2,"Married","3","2",1,"No","3",3,2,2,"2",3,3,"3",4,"1","4"
"3","No","Travel_Rarely","1","Research & Development","2",3,"Life Sciences",2,"Female","2",4,1,"Laboratory Technician",4,"Married","1","5",3,"No","1",3,2,0,"1",3,3,"1",0,"1","1"
"2","No","Travel_Rarely","3","Research & Development","3",4,"Life Sciences",3,"Female","3",3,2,"Manufacturing Director",4,"Single","2","4",1,"No","5",4,4,0,"2",2,3,"3",7,"1","4"
"3","No","Travel_Rarely","3","Sales","1",4,"Marketing",3,"Male","1",2,2,"Sales Executive",1,"Single","2","5",0,"No","2",3,2,0,"3",2,3,"4",13,"1","4"
"4","No","Travel_Rarely","1","Research & Development","2",4,"Other",4,"Male","2",3,3,"Research Director",1,"Married","4","3",4,"Yes","2",3,2,0,"3",3,4,"1",0,"1","1"
"3","No","Travel_Rarely","1","Research & Development","2",4,"Medical",1,"Male","1",3,3,"Research Director",3,"Single","4","5",4,"No","2",3,1,0,"3",3,4,"2",2,"1","2"
"4","No","Travel_Rarely","3","Human Resources","2",2,"Medical",2,"Male","4",3,2,"Human Resources",2,"Divorced","2","2",8,"Yes","4",4,4,1,"3",2,3,"1",2,"1","2"
"2","No","Travel_Rarely","3","Research & Development","1",1,"Life Sciences",4,"Male","2",2,2,"Laboratory Technician",4,"Married","2","3",1,"Yes","1",3,3,2,"2",1,2,"3",8,"2","1"
"3","No","Travel_Rarely","4","Research & Development","1",3,"Medical",2,"Male","1",2,1,"Research Scientist",3,"Single","1","5",1,"No","3",3,1,0,"1",3,3,"2",4,"1","3"
"5","No","Travel_Rarely","1","Sales","1",2,"Life Sciences",1,"Male","3",3,3,"Sales Executive",4,"Married","4","4",3,"No","2",3,4,1,"4",4,3,"1",0,"1","1"
"3","No","Non-Travel","2","Research & Development","2",3,"Medical",2,"Female","4",1,2,"Research Scientist",4,"Divorced","2","3",7,"Yes","1",3,4,3,"3",3,3,"3",11,"1","4"
"3","No","Travel_Rarely","4","Research & Development","1",2,"Medical",1,"Male","5",3,2,"Manufacturing Director",2,"Married","2","4",1,"No","2",3,3,0,"1",2,3,"2",2,"1","2"
"5","No","Travel_Rarely","5","Research & Development","2",3,"Life Sciences",4,"Male","2",1,3,"Manufacturing Director",4,"Single","3","4",4,"No","1",3,1,0,"5",3,2,"2",4,"1","2"
"1","No","Travel_Rarely","2","Sales","1",1,"Technical Degree",3,"Male","3",3,1,"Sales Representative",1,"Divorced","1","2",3,"No","2",3,3,1,"1",3,3,"1",0,"1","1"
"5","No","Travel_Rarely","2","Research & Development","3",4,"Life Sciences",4,"Male","5",3,1,"Laboratory Technician",4,"Married","1","4",3,"No","5",4,2,2,"2",4,3,"1",2,"1","2"
"2","No","Travel_Rarely","1","Research & Development","1",3,"Life Sciences",3,"Male","5",2,2,"Healthcare Representative",4,"Married","2","3",1,"No","4",3,1,3,"2",3,3,"3",10,"4","4"
"4","Yes","Travel_Rarely","2","Sales","3",2,"Medical",3,"Male","3",2,3,"Sales Executive",4,"Single","4","3",1,"No","3",3,4,0,"2",3,3,"3",8,"2","4"
"4","No","Travel_Frequently","2","Research & Development","1",4,"Life Sciences",3,"Male","4",2,4,"Healthcare Representative",2,"Married","4","3",1,"No","4",4,4,1,"4",3,2,"4",3,"4","5"
"5","No","Travel_Rarely","2","Sales","4",4,"Marketing",3,"Male","3",3,2,"Sales Executive",4,"Single","2","2",0,"Yes","4",4,4,0,"2",2,1,"3",7,"1","1"
"2","No","Travel_Rarely","5","Sales","1",2,"Medical",3,"Female","3",2,2,"Sales Executive",2,"Divorced","2","4",1,"Yes","1",3,2,3,"2",4,2,"3",8,"1","4"
"4","No","Travel_Frequently","2","Research & Development","1",3,"Medical",3,"Male","1",2,3,"Healthcare Representative",1,"Married","4","1",2,"Yes","2",3,3,1,"4",5,2,"3",9,"3","3"
"3","No","Travel_Rarely","4","Sales","2",4,"Medical",2,"Male","5",3,2,"Sales Executive",3,"Single","2","5",1,"No","3",3,1,0,"3",0,3,"3",8,"2","4"
"5","No","Travel_Rarely","4","Research & Development","1",4,"Technical Degree",1,"Female","3",3,3,"Research Director",3,"Married","4","5",9,"No","1",3,1,1,"3",5,1,"1",3,"1","2"
"1","No","Travel_Rarely","5","Sales","1",2,"Other",1,"Female","1",3,2,"Sales Executive",3,"Married","2","4",0,"No","4",4,1,1,"1",2,2,"1",2,"1","2"
"2","No","Non-Travel","1","Sales","1",3,"Medical",2,"Male","1",3,2,"Sales Executive",3,"Married","2","2",1,"No","2",3,2,0,"1",3,4,"2",4,"1","3"
"5","No","Travel_Rarely","2","Sales","3",4,"Medical",4,"Male","1",3,4,"Sales Executive",3,"Single","4","5",0,"No","2",3,3,0,"5",1,2,"5",10,"1","4"
"4","No","Non-Travel","2","Research & Development","5",3,"Medical",2,"Male","3",3,2,"Laboratory Technician",2,"Married","1","5",4,"No","1",3,3,1,"3",3,4,"1",2,"1","2"
"3","Yes","Travel_Rarely","3","Human Resources","2",4,"Human Resources",3,"Male","3",3,1,"Human Resources",1,"Divorced","1","5",4,"Yes","4",4,4,0,"2",3,3,"1",2,"1","2"
"3","No","Travel_Rarely","3","Research & Development","1",1,"Life Sciences",4,"Male","3",3,1,"Research Scientist",1,"Single","1","3",1,"No","2",3,4,0,"1",2,3,"1",0,"1","1"
"1","Yes","Travel_Frequently","3","Research & Development","2",3,"Life Sciences",4,"Female","3",2,1,"Laboratory Technician",4,"Single","1","4",1,"Yes","3",3,2,0,"1",5,3,"1",0,"1","1"
"3","No","Travel_Rarely","2","Research & Development","2",4,"Other",1,"Female","1",3,2,"Research Scientist",3,"Single","2","3",1,"No","2",3,3,0,"3",3,3,"4",13,"1","4"
"3","No","Non-Travel","4","Research & Development","1",2,"Life Sciences",3,"Male","5",2,2,"Healthcare Representative",4,"Divorced","2","3",5,"No","2",3,4,1,"3",2,4,"1",0,"1","1"
"5","No","Non-Travel","5","Human Resources","1",4,"Human Resources",3,"Female","1",2,5,"Manager",4,"Married","5","5",9,"No","4",4,4,1,"5",3,3,"1",2,"1","2"
"5","No","Travel_Frequently","4","Research & Development","1",3,"Life Sciences",1,"Female","4",3,5,"Research Director",2,"Married","5","2",3,"Yes","4",3,1,0,"5",1,2,"2",3,"1","4"
"1","Yes","Travel_Rarely","1","Sales","2",3,"Marketing",3,"Male","2",2,2,"Sales Executive",3,"Single","2","5",1,"Yes","1",3,4,0,"1",1,3,"2",4,"1","2"
"1","No","Travel_Rarely","5","Research & Development","2",1,"Medical",4,"Male","3",2,1,"Research Scientist",4,"Married","1","5",1,"No","1",3,3,2,"1",2,3,"1",2,"1","1"
"1","No","Travel_Rarely","2","Research & Development","4",3,"Medical",2,"Female","3",3,1,"Laboratory Technician",4,"Single","1","5",1,"No","2",3,3,0,"1",5,3,"1",0,"1","1"
"5","No","Travel_Frequently","5","Research & Development","1",4,"Medical",1,"Female","1",2,3,"Healthcare Representative",1,"Single","3","5",3,"No","4",4,3,0,"4",1,2,"3",12,"4","4"
"3","Yes","Travel_Frequently","2","Research & Development","2",3,"Life Sciences",1,"Male","3",1,2,"Laboratory Technician",3,"Single","3","5",1,"Yes","5",4,4,0,"2",3,3,"3",7,"1","3"
"5","No","Non-Travel","1","Human Resources","5",3,"Human Resources",4,"Female","1",4,4,"Manager",4,"Single","5","3",2,"Yes","1",3,3,0,"4",3,3,"2",3,"2","3"
"1","No","Travel_Rarely","4","Research & Development","4",1,"Life Sciences",2,"Male","2",3,1,"Laboratory Technician",3,"Married","1","3",0,"No","1",3,3,1,"1",2,3,"2",3,"1","2"
"3","No","Travel_Rarely","4","Research & Development","2",4,"Life Sciences",3,"Female","2",2,2,"Research Scientist",2,"Divorced","2","3",6,"No","2",3,3,1,"3",3,3,"1",0,"1","1"
"3","No","Travel_Rarely","4","Sales","1",3,"Life Sciences",3,"Male","5",3,3,"Sales Executive",4,"Single","3","3",2,"No","1",3,1,0,"3",3,3,"2",3,"1","2"
"3","No","Travel_Rarely","5","Research & Development","2",3,"Medical",3,"Female","2",2,3,"Manager",1,"Single","4","1",2,"No","1",3,4,0,"3",6,3,"3",10,"2","4"
"3","No","Travel_Frequently","5","Sales","3",2,"Technical Degree",2,"Female","5",3,3,"Sales Executive",4,"Married","4","5",0,"No","2",3,3,1,"2",6,3,"3",7,"1","4"
"3","No","Travel_Rarely","3","Research & Development","1",2,"Life Sciences",1,"Female","1",3,1,"Laboratory Technician",4,"Divorced","1","1",5,"No","4",4,1,1,"2",2,3,"1",0,"1","1"
"4","No","Travel_Frequently","1","Sales","5",2,"Life Sciences",3,"Male","5",3,4,"Manager",4,"Married","5","4",1,"Yes","1",3,4,2,"4",3,4,"4",12,"2","5"
"2","No","Travel_Frequently","5","Research & Development","5",3,"Life Sciences",1,"Male","5",1,1,"Research Scientist",3,"Divorced","1","5",1,"No","5",4,3,3,"2",2,2,"3",7,"1","4"
"3","No","Non-Travel","3","Sales","5",2,"Marketing",3,"Male","5",3,2,"Sales Executive",2,"Married","3","3",0,"No","2",3,1,1,"2",2,4,"2",7,"1","4"
"5","Yes","Travel_Rarely","2","Research & Development","4",4,"Life Sciences",2,"Female","4",3,1,"Research Scientist",2,"Married","2","1",9,"Yes","3",3,1,3,"2",2,3,"2",4,"2","2"
"5","No","Travel_Rarely","2","Research & Development","2",3,"Life Sciences",1,"Male","2",3,5,"Research Director",3,"Single","5","1",7,"No","2",3,3,0,"4",5,3,"4",18,"4","5"
"2","Yes","Travel_Rarely","1","Sales","2",4,"Life Sciences",2,"Male","4",1,2,"Sales Executive",3,"Married","3","4",4,"Yes","3",3,2,0,"3",3,2,"2",7,"3","4"
"2","No","Travel_Rarely","3","Research & Development","2",3,"Other",3,"Female","2",2,1,"Research Scientist",2,"Married","1","5",1,"No","4",3,3,0,"1",3,2,"2",4,"2","2"
"5","Yes","Travel_Rarely","1","Research & Development","5",4,"Medical",4,"Female","5",3,3,"Healthcare Representative",4,"Married","4","1",1,"No","1",3,4,1,"5",3,2,"5",10,"4","3"
"1","Yes","Travel_Rarely","2","Sales","5",1,"Marketing",4,"Male","2",3,1,"Sales Representative",3,"Single","1","5",1,"Yes","4",3,4,0,"1",2,2,"1",0,"1","1"
"1","No","Travel_Rarely","2","Research & Development","1",1,"Technical Degree",3,"Male","5",3,1,"Laboratory Technician",4,"Married","1","4",0,"No","2",3,3,1,"1",2,3,"1",1,"1","1"
"5","No","Travel_Rarely","2","Research & Development","4",4,"Medical",3,"Female","5",3,2,"Manufacturing Director",1,"Married","3","1",1,"No","2",3,3,0,"3",2,2,"4",11,"2","5"
"4","No","Travel_Frequently","3","Research & Development","5",3,"Medical",2,"Female","4",4,1,"Research Scientist",3,"Single","2","3",4,"No","1",3,4,0,"4",2,3,"1",2,"1","2"
"5","No","Travel_Frequently","3","Sales","3",3,"Marketing",3,"Female","4",3,3,"Sales Executive",4,"Single","3","1",4,"No","1",3,4,0,"3",3,3,"1",2,"1","1"
"2","Yes","Travel_Rarely","2","Sales","4",3,"Life Sciences",2,"Female","3",1,2,"Sales Executive",3,"Married","2","5",3,"Yes","1",3,3,1,"1",2,3,"1",2,"1","2"
"4","No","Travel_Rarely","3","Sales","3",1,"Life Sciences",3,"Male","5",3,3,"Sales Executive",3,"Divorced","3","4",3,"Yes","2",3,3,1,"3",2,3,"3",7,"1","4"
"2","No","Travel_Rarely","5","Human Resources","5",1,"Life Sciences",3,"Female","3",3,1,"Human Resources",3,"Married","1","2",1,"No","5",4,4,1,"2",3,3,"2",7,"2","4"
"3","No","Travel_Rarely","1","Research & Development","2",2,"Medical",2,"Male","4",3,2,"Manufacturing Director",2,"Divorced","2","1",6,"No","4",4,4,2,"2",0,3,"1",2,"1","1"
"5","Yes","Travel_Frequently","4","Research & Development","3",4,"Life Sciences",1,"Male","2",1,3,"Manufacturing Director",4,"Single","4","5",2,"No","2",3,4,0,"4",2,3,"1",2,"1","2"
"4","No","Travel_Rarely","5","Sales","1",4,"Life Sciences",4,"Female","2",2,2,"Sales Executive",3,"Married","2","3",4,"No","2",3,3,1,"3",1,4,"4",11,"2","4"
"1","No","Travel_Rarely","3","Sales","5",3,"Life Sciences",1,"Male","1",2,2,"Sales Executive",3,"Married","3","5",2,"No","3",3,4,0,"1",3,3,"1",2,"1","2"
"2","No","Travel_Rarely","4","Human Resources","3",3,"Human Resources",3,"Male","2",3,2,"Human Resources",4,"Married","3","3",0,"Yes","4",3,4,0,"3",2,1,"3",9,"2","4"
"3","Yes","Travel_Rarely","4","Research & Development","3",3,"Medical",1,"Female","1",3,1,"Laboratory Technician",1,"Single","2","2",7,"No","4",4,1,0,"2",2,4,"2",4,"1","3"
"4","No","Travel_Rarely","5","Research & Development","5",3,"Medical",3,"Male","4",3,1,"Research Scientist",4,"Single","1","2",5,"No","2",3,2,0,"2",2,2,"2",5,"1","2"
